AuthorId,PaperIds
2080775,1047104 2200312 280462 1467879
1449997,91303 639893 92678 68165 100922 180935 309836 362613 367603 416445 593640 656215 673101 705603 745076 825094 846769 854665 862109 901232 1036947 1084010 1138254 1148497 1184114 1233667 1279978 1280506 1428408 1573677 1610730 1635899 1755607 1844581 1865740 1965371 1996329 2069163 2086480 2099907 2104398 2169229 2199312 2238546 2256027 800233 1097999 1257890 2154495 521425 1451236 278509 308173 347655 514112 1139266 1146998 1280836 1775141 1782311 1820969 2017920 2092083 2095772 2105911 2221775 1896408 359251 942094 1310231 1874320 889233 907858 2142830 110464 679601 534272 1108879 1289494 1998497 2011324 1167317 2155392 49808 508399 615668 1169850 1212140 1280735 1361252 1469797 1654274 1133014 1631830 2193101 377119 557671 621494 722753 740570 801692 1118986 1122925 1152366 1268714 1378307 1573557 1737646 1878050 105701 573804 708423 4449 398755 415226 584145 792080 1156673 1351112 2234715 136615 506329 1249533 1463279 1481422 1493539 1517321 1778740 1796006 1808375 56620 1829174 499044 911506 1023448 1272178 1528971 2076475 228628 296180 903714 1783148 2217498 533284 1619770 373182 19685 341631 435540 677302 830901 1139898 1403571 1512168 1608550 1860884 177868 294614 890376 1274537 1730862 10821 119775 120646 200180 200929 386399 462957 474284 486709 514773 519686 530917 634800 817651 836226 910361 932100 960257 987501 1030570 1037916 1084472 1098736 1123626 1258401 1346062 1352391 1377750 1434269 1497272 1566195 1629445 1703897 1718292 1877715 1878055 1886337 1996679 2014781 2068775 2226595 2258855 1582153 1526929 1767949 1565250 1197674 233113 564160 466488 2020270 284416 664519 769393 892111 1385325 325566 777932 783621 809918 406487 1392515 1565222 1860361 121710 178846 231011 491778 882996 1324722 1518830 2117011 131780 150678 184116 505648 610954 712114 949588 977723 983689 1009518 1298837 1818632 1919320 1938822 1956006 2166429 2208799 2246338 1005650 640020 1257143 1548583 1144918 2227394 1105980 1134778 1353610 279430 948733 2239685 239245 781436 1389825 1569718 1791967 1108868 249384 1047263 581863 1336240 2175781 1064641 949419 2141453 1349016 1638716 140233 1266168 1726513 997095 1350192 18780 1926804 1539429 57616 1311344 1421643 1314969 1589355 1722180 568550 1484544 2104115 794032
1646608,1353294 2010045 1214962 86274 920493 937798 1726576 1109704 108069 637230 1276973 1326853 337144 154185 1222335 2104510 452542 55289
548881,123113 859025 936276 241424 1047577 1047577 10951 10951 2171448 2145231 769886 550461 910089 897748 402538 782302 2019446 1988146 1583546 1199770 1856008 777515 1206789 1206789 2071145 25095 661358 1734866 2228841 2228841 1486126 1810044 1832338 1662128 1517362 1064813 1748394 267733 984197 1335059 561905 1355566 1149972 1407349 375198 1290332 308398 892266 561595 1018076 744232 125040 1025304 1717926 18338 1235168 1365608 1651731 1708010 1079278 394121 1797748 112974 678591 2148361
1409048,1086416 1086416 1086416 1509560 1259500 1259500 1259500 774860 774860 774860 340873 340873 340873 1658596 1658596 1658596 1995531 1995531 1995531 1867262 1867262 1867262 1040223 1040223 1040223
1105949,887268 1772198 1765928 106577 470196 881854 1112361 303443 326936 1261968 637053 554949 308939 1236126 1508783 928159 851741 910272 1959935 1723984 252862 442334 1937779
286759,1482575 1736484 2135477 1922137 1645200 1804797 2063392 1059519 2071962 827692 1060946 1664197 667657 2035525 2236050 1086880 1370811 1195279 938315
950318,772812 1316908 1349883
41009,656419 2234486 1474631 1862142 1934756 1994425 246701 1029758 1531457 336248 643702 1308254 863425 926841 2124527 1258284 1956351 1819448 330114 199656 2034501 637278 644357 114875 56140 827041 1592115 2181493 1573546 2080354 428606 1225680 1398925 1503866 2097253 376081 915032 1375484 1839925 2228833 261035 2038704 253685 253685 1176104 84587 1357171 1138474 1698249 2026989 1492021 2058482 129720
55,68389 191340 529078 1705250 1917226 2145125 2253161 2242701 1963658 649131 889545 1958000 507841 847068 1087938 418934 468963 671895 816840 1258466 160532 449667 590988 1218501 1691264 1051834 2001206 2089307 2185666 368324 538215 674836 1111248 1575412 1767867 1314361 2060463 1157610 1309753 1315957 855331 949475 360533 75356 138408 185529 341916 563378 602590 636227 716659 742557 778260 857434 1040990 1149308 1246558 1265959 1292671 1358761 1394715 1401976 1441833 1470552 1495079 1505207 1513936 1598603 1619343 1671418 1728999 1779715 1914211 1923712 2020050 2139275 2188615 2188967 2239080 243218 596639 701621 707333 739353 767668 791391 844326 860343 1003588 1175552 1234065 1311582 1330500 1355338 1389913 1480374 1627327 1686687 1704638 2135162 2172944 282173 1226103 55193 75169 82669 128962 167677 275203 400432 402085 415677 424703 433440 530550 548812 561429 605718 618099 645843 761011 782195 869430 878611 878853 916062 998325 1028676 1065523 1131277 1162408 1182092 1246911 1254356 1279252 1334503 1390814 1412697 1432571 1487068 1503094 1514435 1629211 1647435 1674347 1692285 1704151 1796849 1807352 1813933 1842828 1892017 1935912 1964990 2069862 2088058 2116002 2169279 2233795 567439 374924 1296398 1473948 122970 129165 164850 178422 222469 294906 330142 337774 396571 413987 600343 914441 1017616 1030869 1236357 1253687 1291570 1318932 1333822 1402396 1421288 1453295 1484358 1516256 1536069 1645597 1709669 1844943 1868160 1996769 2130152 2133149 2160386 156007 440944 847749 1618919 2043565 2086146 42966 69178 179163 217562 341809 367455 393613 666181 768943 836932 837051 839470 1224097 1232116 1306853 1334565 1845348 2061699 2107137 2152937 2219269 188583 441364 1002385 1235117 1341262 1596644 1842680 1978555 629576 1006063 360278 847721 1134037 24074 40294 375645 389256 415449 838147 1038114 1114808 1221789 1358815 1715897 1846507 2050391 2239313 251879 109868 2243047 224005 2020967 947880 1315501 2227977 427328 569149 590824 778747 787670 842748 1309499 1503337 1567825 873533 951610 991821 1129545 1406810 1740617 2052277 1303769 545233 1369596 1409438 1819740 801400 533875 655318 1348168 1953648 2097673 2067435 366499 1537119 313273 616823 919007 1318181 2248734 169774 491228 762178 965304 1417252 1647084 327692 429669 1389430 1475480 662811 1127766 1106983 1170435 1350211 391076 1909176 427091 766130 1268918 1545364 1905878 2160850 2203516 2182966 607208 1068666 25103 36459 348351 419865 569738 809176 836220 1130940 1147447 1347683 1521193 1600372 1805568 311565 617344 745317 1373323 47028 801725 518886 1224720 1598529 1404308 609556 1113127 2071330 82789 2078331 161497 362297 589720 1488589 1762246 2148216 136767 633416 1212786 1809054 1993390 144775 443903 733638 248390 1748110 2213984 145200 933473 157653 269210 1079496 1988643 2101279 1173588 327786 981085 1464112 1637203 744480 1290673 1374577 2223355 77268 285210 1368392 1709794 2161270 690310 1124696 1998820 500411 1272277 1420910 250051 443598 452096 601175 1117699 1120846 1258087 372994 571156 2169998 400429 2149929 1604996 1669282 283152 501918 1032043 1324071 153324 1634096 372836 487867 1971149 2139295 697076 1477509 753581 446774 515706 1200417 1617887 2033860 293806 640178 1263351 52775 918326 1988335 1340284 1425243 50011 267444 292208 2092511 2228319 749124 264821 433613 1384633 1689507 699144 380270 599636 2140444 2100017 295041 228600 652442 852486 1587177 2001305 580095 19294 757830 944768 1200622 627473 20444 178136 423069 478547 1058628 2054919 108616 166298 1457884 2172928 2047193 520682 823685 1166498 1330055 2126038 2188174 68780 151248 494493 577846 685489 787171 1012283 1213444 583593 300323 1845523 372043 375494 1426341 95899 441057 787757 812510 913529 1051041 1088098 1275261 1412366 1561133 1618867 1208855 810770 657724 110515 197854 209987 520007 861633 939887 1471568 1490929 1561911 1562350 1639061 2014129 2235159 2254072 25304 566388 2170187 222631 862499 1613009 600193 1165889 1247571 1737538 1283236 1791611 1267968 1501821 1572902 1609130 1754410 1871885 1874507 1961041 1973900 462613 836602 1639193 411010 542459 686632 1039736 1044866 1204075 1336245 1886009 2006004 1000445 1321344 1792050 102768 258012 1079484 1974662 1976657 241121 317855 391835 1338645 1782482 2025947 2228219 85184 178497 1034482 1131748 1183554 1231847 1287246 1588620 1598298 1930652 2010142 2069581 15471 824229 883792 1057692 1659666 1690254 2507 138526 139335 299391 312517 322106 341776 369796 397455 401485 417586 434161 434255 464497 479932 493623 493921 511272 529900 558232 605597 640883 649955 651888 683325 717808 720336 732607 733374 747730 783611 794747 800859 803603 805860 810900 819589 821861 824805 849805 860367 867779 869813 885156 898876 973193 1058984 1081944 1095626 1153819 1169763 1230662 1231449 1268197 1281589 1294041 1299922 1328475 1360578 1376095 1392908 1481605 1482854 1493998 1507925 1559958 1564558 1605108 1611534 1614166 1638417 1665586 1693618 1696592 1705023 1717868 1743955 1768979 1822770 1874629 1883848 1912963 2031585 2144025 2187821 2189241 2209422 2221713 2232203 2238930
